question	frequency	company
HashMap 与 ConcurrentHashMap 的实现原理是怎样的？ConcurrentHashMap 是如何保证线程安全的？  	115	alibaba
Java 中垃圾回收机制中如何判断对象需要回收？常见的 GC 回收算法有哪些？  	98	alibaba
简述 Synchronized，Volatile，可重入锁的不同使用场景及优缺点  	78	alibaba
Synchronized 关键字底层是如何实现的？它与 Lock 相比优缺点分别是什么？  	70	alibaba
JMM 中内存模型是怎样的？什么是指令序列重排序？  	68	alibaba
简述 Spring AOP 的原理  	56	alibaba
实现单例设计模式（懒汉，饿汉）  	51	alibaba
Java 是如何实现线程安全的，哪些数据结构是线程安全的？  	46	alibaba
简述 Java 的反射机制及其应用场景  	44	alibaba
简述 ArrayList 与 LinkedList 的底层实现以及常见操作的时间复杂度 	42	alibaba
Java 类的加载流程是怎样的？什么是双亲委派机制？  	38	alibaba
Java 中 sleep() 与 wait() 的区别  	38	alibaba
String 类能不能被继承？为什么？  	36	alibaba
简述 BIO, NIO, AIO 的区别  	36	alibaba
Java 线程池里的 arrayblockingqueue 与 linkedblockingqueue 的使用场景和区别  	34	alibaba
JVM 是怎么去调优的？了解哪些参数和指令？  	34	alibaba
Java 中接口和抽象类的区别  	33	alibaba
Spring MVC 的原理和流程  	30	alibaba
hashcode 和 equals 方法的联系  	26	alibaba
String，StringBuffer，StringBuilder 之间有什么区别？  	22	alibaba
线程池是如何实现的？简述线程池的任务策略  	22	alibaba
手写生产者消费者模型  	20	alibaba
Java 缓冲流 buffer 的用途和原理是什么？  	18	alibaba
简述 Java 内置排序算法的实现原理  	18	alibaba
什么是内存泄漏，怎么确定内存泄漏？  	18	alibaba
简述 Spring bean 的生命周期  	16	alibaba
什么是公平锁？什么是非公平锁？  	16	alibaba
如何确定 eden 区的对象何时进入老年代？  	16	alibaba
Java 中 arrayblockingqueue 与 linkedblockingqueue 的用途和区别  	14	alibaba
error 和 exception 的区别是什么？  	14	alibaba
简述动态代理与静态代理  	14	alibaba
阻塞队列都有哪几种，有什么区别？  	12	alibaba
Java 中如何进行 GC 调优？  	12	alibaba
简单介绍 MyBatis，MyBatis 是如何实现 ORM 映射的  	10	alibaba
简述 Web socket 与 HTTP 的使用场景  	10	alibaba
简述 Dubbo 服务调用过程  	10	alibaba
简述 TCP 三次握手以及四次挥手的流程。为什么需要三次握手以及四次挥手？ 	86	alibaba
HTTP 与 HTTPS 有哪些区别？  	84	alibaba
TCP 与 UDP 在网络协议中的哪一层，他们之间有什么区别？ 	62	alibaba
从输入 URL 到展现页面的全过程 	60	alibaba
TCP 中常见的拥塞控制算法有哪些？  	50	alibaba
DNS 查询服务器的基本流程是什么？DNS 劫持是什么？	40	alibaba
什么是跨域，什么情况下会发生跨域请求？	34	alibaba
Cookie 和 Session 的关系和区别是什么？	32	alibaba
简述 HTTP 1.0，1.1，2.0 的主要区别 	30	alibaba
TCP 怎么保证可靠传输？ 	28	alibaba
什么是 TCP 粘包和拆包？ 	22	alibaba
从系统层面上，UDP如何保证尽量可靠？ 	20	alibaba
HTTP 中 GET 和 POST 区别  	18	alibaba
TCP 挥手时出现大量 CLOSE_WAIT 或 TIME_WAIT 怎么解决？  	16	alibaba
TCP 中 SYN 攻击是什么？如何防止？  	16	alibaba
简述 WebSocket 是如何进行传输的  	16	alibaba
MySQL 为什么使用 B+ 树来作索引，对比 B 树它的优点和缺点是什么？  	124	alibaba
数据库的事务隔离级别有哪些？各有哪些优缺点？  	82	alibaba
简述乐观锁以及悲观锁的区别以及使用场景 	72	alibaba
简述脏读和幻读的发生场景，InnoDB 是如何解决幻读的？	48	alibaba
简述一致性哈希算法的实现方式及原理  	48	alibaba
简述 Redis 持久化中 RDB 以及 AOF 方案的优缺点 	44	alibaba
产生死锁的必要条件有哪些？如何解决死锁？  	38	alibaba
SQL优化的方案有哪些，如何定位问题并解决问题？  	36	alibaba
Redis的缓存淘汰策略有哪些？  	34	alibaba
简述数据库中什么情况下进行分库，什么情况下进行分表？  	28	alibaba
Redis 如何实现分布式锁？  	28	alibaba
为什么 Redis 在单线程下能如此快？ 	26	alibaba
数据库索引的实现原理是什么？  	22	alibaba
Redis 有几种数据结构？Zset 是如何实现的？ 	22	alibaba
简述 Redis 集群配置以及基础原理  	22	alibaba
简述什么是最左匹配原则  	20	alibaba
MySQL中 InnoDB 和 MylSAM 的区别是什么？  	20	alibaba
简述 Redis 中跳表的应用以及优缺点  	18	alibaba
简述 Redis 中如何防止缓存雪崩和缓存击穿  	18	alibaba
简述 undo log 和 redo log 的作用  	18	alibaba
如何解决缓存与数据库不一致的问题？  	18	alibaba
数据库的读写分离的作用是什么？如何实现？  	16	alibaba
简述 MySQL 三种日志的使用场景  	16	alibaba
数据库查询中左外连接和内连接的区别是什么？  	14	alibaba
Redis 中，sentinel 和 cluster 的区别和适用场景是什么？  	11	alibaba
什么是 CAP ？什么是最终一致性？什么是幂等操作？  	44	alibaba
电商系统中，如何实现秒杀功能？如何解决商品的超卖问题？  	38	alibaba
简述 Zookeeper 基础原理以及使用场景  	20	alibaba
ZooKeeper 的 ZAB 算法与 Paxos 的区别是什么？  	18	alibaba
如何实现百度搜索功能？  	18	alibaba
高并发情景下，核心线程池该如何设置参数？  	16	alibaba
设计一个阻塞队列  	16	alibaba
容器化了解吗？它的基本原理是什么？  	10	alibaba
进程和线程之间有什么区别？  	88	alibaba
进程间有哪些通信方式？  	48	alibaba
简述几个常用的 Linux 命令以及他们的功能  	46	alibaba
线程有多少种状态，状态之间如何转换  	36	alibaba
进程有多少种状态？  	30	alibaba
简述 select, poll, epoll 的使用场景以及区别，epoll 中水平触发以及边缘触发有什么不同？  	28	alibaba
Linux 下如何排查 CPU 以及 内存占用过多？  	18	alibaba
进程通信中的管道实现原理是什么？  	16	alibaba
Linux 下如何查看 CPU 荷载，正在运行的进程，某个端口对应的进程？  	16	alibaba
如何调试服务器内存占用过高的问题？  	14	alibaba
Linux 如何查看实时的滚动日志？  	14	alibaba
简述 Linux 零拷贝的原理  	14	alibaba
最近阅读哪些技术书籍，遇到技术问题是怎么去解决？  	54	alibaba
项目中最难的地方是哪里？你学习到了什么？  	30	alibaba
与同事沟通的时候，如果遇到冲突了如何解决？  	26	alibaba
你的优势和劣势是什么？  	24	alibaba
能接受多大强度的加班？	18	alibaba
项目中有哪些可改进的点以及很优秀的点？  	16	alibaba
如何排查生产环境的问题？  	16	alibaba
如何评价自己学习新知识的能力  	16	alibaba
简单描述一下自己是怎么样的人？  	14	alibaba
为什么要离开现在的公司？  	14	alibaba
最有技术难度的项目是什么？遇到技术难点怎么解决？  	14	alibaba
团队合作沟通中遇到过什么问题？  	12	alibaba
目前为止，坚持得最久一件事情是什么？  	10	alibaba
HashMap 与 ConcurrentHashMap 的实现原理是怎样的？ConcurrentHashMap 是如何保证线程安全的？  中等 参考1 参考2 参考3	70	meituan
Java 中垃圾回收机制中如何判断对象需要回收？常见的 GC 回收算法有哪些？  中等 参考1 参考2 参考3	62	meituan
Synchronized 关键字底层是如何实现的？它与 Lock 相比优缺点分别是什么？  中等 参考1 参考2	54	meituan
Java 的线程有哪些状态，转换关系是怎么样的？  中等	50	meituan
JVM 内存是如何对应到操作系统内存的？  中等 参考1 参考2	44	meituan
Java 怎么防止内存溢出  简单	42	meituan
简述 BIO, NIO, AIO 的区别  困难 参考1	40	meituan
JMM 中内存模型是怎样的？什么是指令序列重排序？  中等 参考1	38	meituan
Java 类的加载流程是怎样的？什么是双亲委派机制？  简单	36	meituan
简述常见的工厂模式以及单例模式的使用场景  中等	36	meituan
实现单例模式	36	meituan
volatile 关键字解决了什么问题，它的实现原理是什么？  中等 参考1	34	meituan
简述 ArrayList 与 LinkedList 的底层实现以及常见操作的时间复杂度  简单	34	meituan
hashcode 和 equals 方法的联系  简单	32	meituan
什么是重写和重载？  简单	30	meituan
简述 CAS 原理，什么是 ABA 问题，怎么解决？  简单	28	meituan
线程池是如何实现的？简述线程池的任务策略  中等	28	meituan
HashMap 1.7 / 1.8 的实现区别  简单	26	meituan
简述 CMS 与 G1 机制的区别  中等	26	meituan
产生死锁的必要条件有哪些？如何解决死锁？  中等 参考1 参考2 参考3	24	meituan
简述装饰者模式以及适配器模式	22	meituan
简述 Java 中 final 关键字的作用	20	meituan
== 和 equals() 的区别？  简单 参考1	20	meituan
ThreadLocal 实现原理是什么？  简单 参考1 参考2	18	meituan
简述 Netty 线程模型，Netty 为什么如此高效？  中等	18	meituan
简述 HashSet 实现原理  简单	16	meituan
简述动态代理与静态代理  简单	16	meituan
